,Mesocosm,Food,deg.C,deg.F,old_label,new_label,repeated,level_plexiglass,species,specimen_ID,date,analysis_date,filename,max_load,dist_max,median,variance,num_threads_used,single_breaks,multiple_break_groups,total_thread_breaks,QC_flag,b1,b2,b3,b4,b5,b6,b7,b8
36,7,H,18,64.4,7BT_54,07BT_54,0,B,T,50,2/26/17,4/22/19,PV_170226_2Specimen_RawData_2.csv,0.12958,9999,0.134595,0.011037937,2,2,0,2,1,2,0,0,0,0,0,0,0
37,7,H,18,64.4,7CG_56,07CG_56,0,C,G,51,2/26/17,4/22/19,PV_170226_3Specimen_RawData_4.csv,0.48809,0.117011065,0.174935,0.167300791,8,6,2,10,0,6,2,0,0,0,0,0,0
38,7,H,18,64.4,7AG_53,07AG_53,0,A,G,49,2/26/17,4/22/19,PV_170226_2Specimen_RawData_10.csv,0.0332,9999,NA,NA,0,2,1,4,1,2,1,0,0,0,0,0,0
39,8,L,21,69.8,8AG_unk,08AG_unk,0,A,G,98,2/26/17,4/22/19,PV_170226_2Specimen_RawData_7.csv,0.27619,0.104724848,0.10944,0.078444773,5,4,1,6,1,4,1,0,0,0,0,0,0
40,8,L,21,69.8,8AG_69,08AG_69,0,A,G,66,2/26/17,4/22/19,PV_170226_2Specimen_RawData_9.csv,0.14711,9999,0.0904,0.085192225,2,2,0,2,1,2,0,0,0,0,0,0,0
41,8,L,21,69.8,8AG_68,08AG_68,0,A,G,65,2/26/17,4/22/19,PV_170226_2Specimen_RawData_8.csv,0.28868,0.118437107,0.117045,0.049034261,6,6,0,6,0,6,0,0,0,0,0,0,0
42,9,L,12,53.6,9AG_76,09AG_76,0,A,G,74,2/12/17,4/22/19,PV_170212_1Specimen_RawData_8.csv,0.2751,0.038666177,0.080285,0.064900117,4,3,1,5,1,3,1,0,0,0,0,0,0
43,9,L,12,53.6,9AG_77,09AG_77,0,A,G,75,2/12/17,4/22/19,PV_170212_1Specimen_RawData_4.csv,1.5865,0.088243381,0.18041,0.111857074,20,18,2,22,0,18,2,0,0,0,0,0,0
44,9,L,12,53.6,9AG_79,09AG_79,0,A,G,77,2/12/17,4/22/19,PV_170212_1Specimen_RawData_6.csv,0.58789,0.097042199,0.13069,0.082958833,12,9,3,15,0,9,3,0,0,0,0,0,0
45,9,L,12,53.6,9DT_73,09DT_73,0,D,T,69,2/12/17,4/22/19,PV_170212_1Specimen_RawData_7.csv,0.29008,0.146639851,0.136565,0.038153708,6,6,0,6,0,6,0,0,0,0,0,0,0
46,9,L,12,53.6,9BT_78,09BT_78,0,B,T,76,1/8/17,4/22/19,PV_170108_2Specimen_RawData_9.csv,0.08908,9999,0.044875,0.017133197,2,2,0,2,1,2,0,0,0,0,0,0,0
47,9,L,12,53.6,9BT_74,09BT_74,0,B,T,70,1/8/17,4/22/19,PV_170108_2Specimen_RawData_7.csv,0.29177,0.05294183,0.05582,0.067539839,5,4,1,8,1,4,0,0,1,0,0,0,0
48,9,L,12,53.6,9BT_74_2,09BT_74.2,0,B,T,71,1/8/17,4/22/19,PV_170108_2Specimen_RawData_8.csv,0.16759,0.063266184,0.07123,0.056032859,3,2,1,4,1,2,1,0,0,0,0,0,0
49,9,L,12,53.6,9CG_78,09CG_78,0,C,G,76,2/12/17,4/22/19,PV_170212_2Specimen_RawData_5.csv,0.35192,0.037330212,0.03873,0.01499847,3,3,0,3,1,3,0,0,0,0,0,0,0
50,9,L,12,53.6,9CG_75_run2,09CG_75run2,0,C,G,73,2/12/17,4/22/19,PV_170212_2Specimen_RawData_3.csv,0.46556,0.092384692,0.0958,0.197136913,3,2,1,6,1,2,0,0,1,0,0,0,0
51,9,L,12,53.6,9CG_76,09CG_76,0,C,G,74,2/12/17,4/22/19,PV_170212_2Specimen_RawData_6.csv,0.71948,9999,0.09731,0.093422948,2,2,0,2,1,2,0,0,0,0,0,0,0
52,10,H,21,69.8,10DG_no #,10DG_noNum,0,D,G,94,1/8/17,4/22/19,PV_170108_1Specimen_RawData_8.csv,0.5014,0.188895766,0.16254,0.073315626,6,6,0,6,0,6,0,0,0,0,0,0,0
53,10,H,21,69.8,10DG_57,10DG_57,0,D,G,52,1/8/17,4/22/19,PV_170108_1Specimen_RawData_6.csv,0.74509,0.070809228,0.10502,0.107153961,14,10,4,20,0,10,2,2,0,0,0,0,0
54,10,H,21,69.8,10DG_59,10DG_59,0,D,G,54,1/8/17,4/22/19,PV_170108_1Specimen_RawData_7.csv,0.72436,0.113488594,0.160255,0.140117698,6,5,1,7,0,5,1,0,0,0,0,0,0
55,10,H,21,69.8,10BG_Unk1,10BG_Unk1,0,B,G,102,2/12/17,4/22/19,PV_170212_1Specimen_RawData_1.csv,0.11691,9999,0.080295,0.062487026,2,2,0,2,1,2,0,0,0,0,0,0,0
56,10,H,21,69.8,10BG_Unk2,10BG_Unk2,0,B,G,103,2/12/17,4/22/19,PV_170212_1Specimen_RawData_2.csv,0.64592,0.188283238,0.20893,0.107526216,5,5,0,5,0,5,0,0,0,0,0,0,0
57,11,L,18,64.4,11BG_81_1,11BG_81.1,0,B,G,81,12/26/16,4/22/19,PV_161226_2Specimen_RawData_4.csv,0.25816,0.118569639,0.10727,0.048887956,3,3,0,3,1,3,0,0,0,0,0,0,0
58,11,L,18,64.4,11AT_86,11AT_86,0,A,T,85,1/8/17,4/22/19,PV_170108_1Specimen_RawData_4.csv,0.17094,0.087080747,0.087645,0.054819074,4,4,0,4,1,4,0,0,0,0,0,0,0
59,11,L,18,64.4,11BG_84,11BG_84,0,B,G,83,12/26/16,4/22/19,PV_161226_2Specimen_RawData_1.csv,0.83001,0.102480516,0.12592,0.124830167,9,7,2,12,0,7,1,1,0,0,0,0,0
60,11,L,18,64.4,11DG_unk1,11DG_unk1,0,D,G,101,1/8/17,4/22/19,PV_170108_2Specimen_RawData_2.csv,0.74045,0.181429296,0.19661,0.144322559,7,6,1,8,0,6,1,0,0,0,0,0,0
61,11,L,18,64.4,11DG_Unk2,11DG_Unk2,0,D,G,103,1/8/17,4/22/19,PV_170108_2Specimen_RawData_1.csv,0.18525,0.154122357,0.12962,0.076828253,3,3,0,3,1,3,0,0,0,0,0,0,0
62,12,L,12,53.6,12BT_91,12BT_91,0,B,T,88,2/12/17,4/22/19,PV_170212_2Specimen_RawData_1.csv,0.13297,0.043778769,0.05673,0.047259613,3,2,1,4,1,2,1,0,0,0,0,0,0
63,12,L,12,53.6,12CG_91,12CG_91,0,C,G,88,1/22/17,4/22/19,PV_170122_2Specimen_RawData_8.csv,0.23598,9999,0.10482,0.028567114,2,2,0,2,1,2,0,0,0,0,0,0,0
64,12,L,12,53.6,12CG_94,12CG_94,0,C,G,90,1/22/17,4/22/19,PV_170122_2Specimen_RawData_5.csv,0.94534,0.066025406,0.128545,0.103892333,12,9,3,15,0,9,3,0,0,0,0,0,0
65,12,L,12,53.6,12DT_90,12DT_90,0,D,T,87,1/22/17,4/22/19,PV_170122_1Specimen_RawData_10.csv,0.03407,9999,NA,NA,0,3,1,6,1,3,0,1,0,0,0,0,0
66,12,L,12,53.6,12DT_92,12DT_92,0,D,T,89,1/22/17,4/22/19,PV_170122_1Specimen_RawData_9.csv,0.37435,0.10115886,0.1088,0.087885381,7,6,1,8,0,6,1,0,0,0,0,0,0
67,13,H,15,59,13CT_5,13CT_5,0,C,T,46,1/21/17,4/22/19,PV_170121_3Specimen_RawData_3.csv,0.06552,9999,0.05391,0.003450681,2,2,0,2,1,2,0,0,0,0,0,0,0
68,13,H,15,59,13BG_8,13BG_8,0,B,G,78,2/12/17,4/22/19,PV_170212_3Specimen_RawData_1.csv,0.33378,0.064682439,0.09934,0.090662998,7,5,2,9,0,5,2,0,0,0,0,0,0
69,13,H,15,59,13DG_unk,13DG_unk,0,D,G,98,1/8/17,4/22/19,PV_170108_2Specimen_RawData_6.csv,0.18153,0.137931636,0.13292,0.019214203,5,5,0,5,0,5,0,0,0,0,0,0,0
70,13,H,15,59,13DG_5,13DG_5,0,D,G,46,1/8/17,4/22/19,PV_170108_2Specimen_RawData_5.csv,0.54248,0.057204968,0.06426,0.194204127,5,4,1,11,1,4,0,0,0,0,0,1,0
71,13,H,15,59,13BG_2,13BG_2,0,B,G,11,2/12/17,4/22/19,PV_170212_3Specimen_RawData_3.csv,0.49497,0.169394347,0.173235,0.103707118,6,5,1,7,0,5,1,0,0,0,0,0,0
72,13,H,15,59,13CT_6,13CT_6,0,C,T,55,1/21/17,4/22/19,PV_170121_3Specimen_RawData_2.csv,0.10381,0.073800722,0.06816,0.021059215,3,3,0,3,1,3,0,0,0,0,0,0,0
73,13,H,15,59,13AT_2,13AT_2,0,A,T,11,12/26/16,4/22/19,PV_161226_1Specimen_RawData_9.csv,0.10271,0.104088801,0.10328,0.028480029,3,3,0,3,1,3,0,0,0,0,0,0,0
74,13,H,15,59,13AT_3,13AT_3,0,A,T,23,12/26/16,4/22/19,PV_161226_1Specimen_RawData_10.csv,0.34805,0.180274701,0.18085,0.104571739,5,5,0,5,0,5,0,0,0,0,0,0,0
75,14,H,12,53.6,14DT_NT2,14DT_NT2,0,D,T,97,1/21/17,4/22/19,PV_170121_1Specimen_RawData_4.csv,0.34318,0.056346983,0.07428,0.163788168,3,2,1,6,1,2,0,0,1,0,0,0,0
76,14,H,12,53.6,14DT_NT1,14DT_NT1,0,D,T,96,1/21/17,4/22/19,PV_170121_1Specimen_RawData_3.csv,0.28781,0.07029809,0.133955,0.096906626,6,5,1,7,0,5,1,0,0,0,0,0,0
77,14,H,12,53.6,14CG_15,14CG_15,0,C,G,6,12/26/16,4/22/19,PV_161226_2Specimen_RawData_5.csv,0.31998,0.166288928,0.16476,0.04205548,5,5,0,5,0,5,0,0,0,0,0,0,0
78,14,H,12,53.6,14AG_11,14AG_11,0,A,G,2,2/12/17,4/22/19,PV_170212_2Specimen_RawData_8.csv,0.25222,0.080447788,0.10092,0.067594978,4,3,1,5,1,3,1,0,0,0,0,0,0
79,14,H,12,53.6,14AG_70,14AG_70,0,A,G,67,2/12/17,4/22/19,PV_170212_2Specimen_RawData_10.csv,1.15301,0.078182293,0.102825,0.14064514,26,18,8,42,0,18,3,2,3,0,0,0,0
80,14,H,12,53.6,14CG_12,14CG_12,0,C,G,3,12/26/16,4/22/19,PV_161226_2Specimen_RawData_7.csv,0.33605,0.092164883,0.1212,0.095618503,7,6,1,8,0,6,1,0,0,0,0,0,0
81,14,H,12,53.6,14CG_13,14CG_13,0,C,G,4,12/26/16,4/22/19,PV_161226_2Specimen_RawData_6.csv,0.82696,0.077420959,0.09095,0.142619696,7,5,2,11,0,5,1,0,1,0,0,0,0
82,14,H,12,53.6,14AG_Unk,14AG_Unk,0,A,G,99,2/12/17,4/22/19,PV_170212_2Specimen_RawData_9.csv,0.65532,0.204297527,0.201645,0.070773575,10,10,0,10,0,10,0,0,0,0,0,0,0
83,14,H,12,53.6,14BT_14,14BT_14,0,B,T,5,1/22/17,4/22/19,PV_170122_2Specimen_RawData_10.csv,0.55606,0.07639371,0.10808,0.091894336,12,10,2,15,0,10,1,1,0,0,0,0,0
84,15,L,18,64.4,15AG_19,15AG_19,0,A,G,10,12/16/16,4/22/19,PV_161216Specimen_RawData_7.csv,0.221,0.05277422,0.07187,0.102798866,3,2,1,5,1,2,0,1,0,0,0,0,0
85,15,L,18,64.4,15CG_21_run2,15CG_21run2,0,C,G,13,12/17/16,4/22/19,PV_161217Specimen_RawData_7.csv,0.15933,0.075518923,0.0845,0.05159606,3,2,1,4,1,2,1,0,0,0,0,0,0
86,15,L,18,64.4,15BT_19,15BT_19,0,B,T,10,12/16/16,4/22/19,PV_161216Specimen_RawData_6.csv,0.60469,0.124887278,0.1391,0.077999766,14,14,0,14,0,14,0,0,0,0,0,0,0
87,15,L,18,64.4,15BT_21,15BT_21,0,B,T,12,12/16/16,4/22/19,PV_161216Specimen_RawData_5.csv,0.21588,0.05509026,0.06053,0.10828618,3,2,1,5,1,2,0,1,0,0,0,0,0
88,15,L,18,64.4,15CG_17,15CG_17,0,C,G,7,12/17/16,4/22/19,PV_161217Specimen_RawData_5.csv,0.12803,0.056733945,0.06308,0.018625083,3,3,0,3,1,3,0,0,0,0,0,0,0
89,15,L,18,64.4,15DT_23,15DT_23,0,D,T,15,12/26/16,4/22/19,PV_161226_1Specimen_RawData_2.csv,0.28588,0.097014834,0.104555,0.084143347,4,3,1,5,1,3,1,0,0,0,0,0,0
90,16,L,18,64.4,16BG_29,16BG_29,0,B,G,21,12/18/16,4/22/19,PV_161218_2Specimen_RawData_8.csv,0.30305,0.068336252,0.058475,0.020778063,4,4,0,4,1,4,0,0,0,0,0,0,0
91,16,L,18,64.4,16DG_31_run2,16DG_31run2,0,D,G,26,12/18/16,4/22/19,PV_161218_2Specimen_RawData_5.csv,0.05678,9999,NA,NA,0,8,0,8,1,8,0,0,0,0,0,0,0
92,16,L,18,64.4,16AT_26_run2,16AT_26run2,0,A,T,18,12/18/16,4/22/19,PV_161218Specimen_RawData_4.csv,0.19149,9999,0.104395,0.102056722,2,2,0,2,1,2,0,0,0,0,0,0,0
93,16,L,18,64.4,16CT_30,16CT_30,0,C,T,24,12/18/16,4/22/19,PV_161218_2Specimen_RawData_1.csv,0.20278,0.117302851,0.10803,0.031230427,8,8,0,8,0,8,0,0,0,0,0,0,0
94,16,L,18,64.4,16DG_25,16DG_25,0,D,G,17,12/18/16,4/22/19,PV_161218_2Specimen_RawData_6.csv,0.05567,9999,NA,NA,0,8,0,8,1,8,0,0,0,0,0,0,0
95,16,L,18,64.4,16BG_30,16BG_30,0,B,G,24,12/18/16,4/22/19,PV_161218_2Specimen_RawData_7.csv,0.63762,0.097489312,0.128305,0.101313263,10,8,2,12,0,8,2,0,0,0,0,0,0
96,16,L,18,64.4,16CT_29_run2,16CT_29run2,0,C,T,22,12/18/16,4/22/19,PV_161218Specimen_RawData_9.csv,0.16028,9999,0.12315,0.060075792,2,2,0,2,1,2,0,0,0,0,0,0,0
97,17,L,12,53.6,17AT_40,17AT_40,0,A,T,36,12/18/16,4/22/19,PV_161218Specimen_RawData_6.csv,0.55607,0.068918918,0.09302,0.109724156,20,16,4,28,0,16,1,2,1,0,0,0,0
98,17,L,12,53.6,17AT_35,17AT_35,0,A,T,31,12/18/16,4/22/19,PV_161218Specimen_RawData_7.csv,0.28481,9999,0.15265,0.145013459,2,2,0,2,1,2,0,0,0,0,0,0,0
99,17,L,12,53.6,17DG_39,17DG_39,0,D,G,35,1/7/17,4/22/19,PV_170107_2Specimen_RawData_2.csv,0.72575,0.079651693,0.12175,0.142844763,9,6,3,13,0,6,2,1,0,0,0,0,0
100,17,L,12,53.6,17BC_36,17BC_36,0,B,C,32,12/23/16,4/22/19,PV_161223Specimen_RawData_10.csv,1.60068,0.072037388,0.093085,0.057573804,4,4,0,4,1,4,0,0,0,0,0,0,0
101,17,L,12,53.6,17BC_40,17BC_40,0,B,C,36,12/23/16,4/22/19,PV_161223Specimen_RawData_9.csv,2.05197,0.145917779,0.17211,0.096703636,14,14,0,14,0,14,0,0,0,0,0,0,0
102,17,L,12,53.6,17BG_38,17BG_38,0,B,G,34,12/23/16,4/22/19,PV_161223_2Specimen_RawData_1.csv,1.53654,0.09877158,0.12683,0.095096724,21,17,4,25,0,17,4,0,0,0,0,0,0
103,17,L,12,53.6,17DG_39,17DG_39,0,D,G,35,1/7/17,4/22/19,PV_170107_2Specimen_RawData_1.csv,1.63142,0.073534108,0.118185,0.08524296,14,12,2,16,0,12,2,0,0,0,0,0,0
104,17,L,12,53.6,17CT_33,17CT_33,0,C,T,29,1/7/17,4/22/19,PV_170107_1Specimen_RawData_7.csv,0.18647,9999,0.10031,0.070753105,2,2,0,2,1,2,0,0,0,0,0,0,0
105,17,L,12,53.6,17CT_36,17CT_36,0,C,T,32,1/7/17,4/22/19,PV_170107_1Specimen_RawData_8.csv,0.72786,0.063023822,0.07607,0.111371731,16,13,3,24,0,13,0,2,0,1,0,0,0
106,17,L,12,53.6,17DG_34,17DG_34,0,D,G,30,2/12/17,4/22/19,PV_170212_3Specimen_RawData_8.csv,0.10603,9999,0.079135,0.009171175,2,2,0,2,1,2,0,0,0,0,0,0,0
107,17,L,12,53.6,17DG_39,17DG_39,0,D,G,35,1/7/17,4/22/19,PV_170107_2Specimen_RawData_2.csv,0.72575,0.079651693,0.12175,0.142844763,9,6,3,13,0,6,2,1,0,0,0,0,0
108,17,L,12,53.6,17DG_35,17DG_35,0,D,G,31,1/7/17,4/22/19,PV_170107_2Specimen_RawData_3.csv,0.3961,0.191464034,0.17899,0.063764709,7,7,0,7,0,7,0,0,0,0,0,0,0
109,17,L,12,53.6,17DG_37,17DG_37,0,D,G,33,1/7/17,4/22/19,PV_170107_2Specimen_RawData_4.csv,1.09597,0.075992553,0.16653,0.122461863,17,15,2,19,0,15,2,0,0,0,0,0,0
110,17,L,12,53.6,17DG_39,17DG_39,0,D,G,35,1/7/17,4/22/19,PV_170107_2Specimen_RawData_1.csv,1.63142,0.073534108,0.118185,0.08524296,14,12,2,16,0,12,2,0,0,0,0,0,0
111,18,L,15,59,18_CTNT2,18CT_NT2,0,C,T,97,1/7/17,4/22/19,PV_170107_1Specimen_RawData_3.csv,0.07079,9999,0.05111,0.009093393,2,2,0,2,1,2,0,0,0,0,0,0,0
112,18,L,15,59,18AT_47/49,18AT_47/49,0,A,T,44,1/7/17,4/22/19,PV_170107_1Specimen_RawData_10.csv,0.188,0.112098549,0.11036,0.015794176,4,4,0,4,1,4,0,0,0,0,0,0,0
113,18,L,15,59,18DT_47,18DT_47,0,D,T,43,1/7/17,4/22/19,PV_170107_1Specimen_RawData_6.csv,0.09977,0.057022619,0.05317,0.013601898,3,3,0,3,1,3,0,0,0,0,0,0,0
114,19,L,21,69.8,19AG_56,19AG_56,0,A,G,51,1/21/17,4/22/19,PV_170121_1Specimen_RawData_2.csv,0.16689,9999,0.11338,0.050020734,2,2,0,2,1,2,0,0,0,0,0,0,0
115,19,L,21,69.8,19CG_45,19CG_45,0,C,G,42,1/21/17,4/22/19,PV_170121_1Specimen_RawData_6.csv,0.2512,0.040899241,0.04896,0.108770971,3,2,1,6,1,2,0,0,1,0,0,0,0
116,19,L,21,69.8,19DT_NT,19DT_NT,0,D,T,95,1/21/17,4/22/19,PV_170121_1Specimen_RawData_1.csv,0.07495,9999,0.04959,0.003719382,2,2,0,2,1,2,0,0,0,0,0,0,0
117,20,L,15,59,20AG60,20AG_60,0,A,G,56,11/14/16,4/22/19,PV_161114Specimen_RawData_2.csv,1.40394,0.204291463,0.20925,0.069053514,7,7,0,7,0,7,0,0,0,0,0,0,0
118,20,L,15,59,20AG60,20AG_60,0,A,G,56,11/14/16,4/22/19,PV_161114Specimen_RawData_2.csv,1.40394,0.204291463,0.20925,0.069053514,7,7,0,7,0,7,0,0,0,0,0,0,0
119,20,L,15,59,20BT61,20BT_61,0,B,T,57,11/14/16,4/22/19,PV_161114Specimen_RawData_5.csv,0.31734,0.097577877,0.134405,0.11317857,6,4,2,8,1,4,2,0,0,0,0,0,0
120,20,L,15,59,20BT60,20BT_60,0,B,T,56,11/14/16,4/22/19,PV_161114Specimen_RawData_8.csv,0.35281,0.162316262,0.16035,0.075202796,5,5,0,5,0,5,0,0,0,0,0,0,0
121,20,L,15,59,20AG64U,20AG_64U,0,A,G,62,11/14/16,4/22/19,PV_161114Specimen_RawData_4.csv,0.26425,0.076538522,0.11127,0.109614596,3,2,1,4,1,2,1,0,0,0,0,0,0
122,20,L,15,59,20BT57,20BT_57,0,B,T,52,11/14/16,4/22/19,PV_161114Specimen_RawData_9.csv,0.4845,0.06428376,0.08598,0.089733025,9,7,2,12,0,7,1,1,0,0,0,0,0
